course;courseName;Time;date;ExamType;Duration;department
احصا101;مقدمة في الإحصاء;الفترة (1) 8.00 - 9.30;1445/08/08;قاعة;90;الدراسات العامة
ادار101;مبادئ إدارة الأعمال;الفترة (1) 8.00 - 9.30;1445/08/02;قاعة;90;الدراسات العامة
اسلك101;السلوك الوظيفي ومهارات الاتصال;الفترة (2) 10.00 - 11.30;1445/08/09;معمل;90;الدراسات العامة
اسلم101;الدراسات الإسلامية;الفترة (2) 10.00 - 11.30;1445/08/08;معمل;90;الدراسات العامة
انجل101;لغة إنجليزية (1);الفترة (3) 13.00 - 14.30;1445/08/01;قاعة;90;الدراسات العامة
انجل102;لغة إنجليزية (2);الفترة (1) 8.00 - 9.30;1445/08/01;معمل;90;الدراسات العامة
انجل103;لغة إنجليزية (3);الفترة (2) 10.00 - 11.30;1445/08/01;قاعة;90;الدراسات العامة
انجل111;لغة إنجليزية (1);الفترة (3) 13.00 - 14.30;1445/08/01;قاعة;90;الدراسات العامة
انجل112;لغة إنجليزية (2);الفترة (1) 8.00 - 9.30;1445/08/01;قاعة;90;الدراسات العامة
انجل113;لغة إنجليزية (3);الفترة (2) 10.00 - 11.30;1445/08/01;قاعة;90;الدراسات العامة
انجل204;لغة إنجليزية (4 );الفترة (2) 10.00 - 11.30;1445/08/01;قاعة;90;الدراسات العامة
بشري101;مبادئ ادارة الموارد البشرية;الفترة (2) 10.00 - 11.30;1445/08/02;قاعة;90;تقنية الاعمال
بشري111;تحليل وتقييم الوظائف;الفترة (2) 10.00 - 11.30;1445/08/04;معمل;90;تقنية الاعمال
بشري112;تخطيط الموارد البشرية;الفترة (2) 10.00 - 11.30;1445/08/02;معمل;90;تقنية الاعمال
بشري221;الاستقطاب والاختيار;الفترة (1) 8.00 - 9.30;1445/08/03;معمل;90;تقنية الاعمال
بشري222;تدريب وتنمية الموارد البشرية;الفترة (2) 10.00 - 11.30;1445/08/02;قاعة;90;تقنية الاعمال
بشري223;إدارة نظم الأجور والتعويضات;الفترة (2) 10.00 - 11.30;1445/08/05;معمل;90;تقنية الاعمال
بشري230;إدارة الأداء;الفترة (2) 10.00 - 11.30;1445/08/05;معمل;90;تقنية الاعمال
بشري232;إدارة الخدمة المدنية;الفترة (1) 8.00 - 9.30;1445/08/04;معمل;90;تقنية الاعمال
بشري251;تطبيقات الحاسب الآلي في ادارة;الفترة (2) 10.00 - 11.30;1445/08/03;معمل;90;تقنية الاعمال
بشري252;موضوعات مختارة في ادارة الموارد البشرية;الفترة (1) 8.00 - 9.30;1445/08/02;قاعة;90;تقنية الاعمال
حاسب121;تجميع الحاسب وتشغيله;الفترة (1) 8.00 - 9.30;1445/08/04;معمل;90;الحاسب وتقنية المعلومات
داعم151;نظم التشغيل (1);الفترة (2) 10.00 - 11.30;1445/08/05;معمل;90;الحاسب وتقنية المعلومات
داعم252;نظم التشغيل (2);الفترة (2) 10.00 - 11.30;1445/08/02;قاعة;90;الحاسب وتقنية المعلومات
رياض101;الرياضيات;الفترة (1) 8.00 - 9.30;1445/08/03;معمل;90;الحاسب وتقنية المعلومات
شبكا111;مبادئ شبكات الحاسب;الفترة (1) 8.00 - 9.30;1445/08/05;معمل;90;الحاسب وتقنية المعلومات
شبكا121;التوجيه والتحويل (1);الفترة (2) 10.00 - 11.30;1445/08/04;قاعة;90;الحاسب وتقنية المعلومات
شبكا222;التوجية والتحويل (2);الفترة (1) 8.00 - 9.30;1445/08/05;قاعة;90;الحاسب وتقنية المعلومات
شبكا231;مقدمة في أمن الشبكات;الفترة (1) 8.00 - 9.30;1445/08/02;قاعة;90;الحاسب وتقنية المعلومات
شبكا232;أمن الشبكات المتقدم;الفترة (2) 10.00 - 11.30;1445/08/04;قاعة;90;الحاسب وتقنية المعلومات
شبكا241;ربط الشبكات;الفترة (2) 10.00 - 11.30;1445/08/03;قاعة;90;الحاسب وتقنية المعلومات
شبكا295;مشروع;الفترة (1) 8.00 - 9.30;1445/08/04;معمل;90;الحاسب وتقنية المعلومات
عربي101;الكتابة الفنية;الفترة (1) 8.00 - 9.30;1445/08/09;معمل;90;الدراسات العامة
فيزي101;الفيزياء;الفترة (1) 8.00 - 9.30;1445/08/08;معمل;90;الحاسب وتقنية المعلومات
محسب101;مبادئ المحاسبة;الفترة (1) 8.00 - 9.30;1445/08/02;قاعة;90;تقنية الاعمال
مهني101;التوجيه المهني والتميز;الفترة (2) 10.00 - 11.30;1445/08/03;معمل;90;الدراسات العامة
