course;courseName;Time;date;ExamType;Duration;department;specialization
رياد101;أساسيات ريادة الأعمال;08:00 - 09:00;28/12/25;قاعة;60;الدراسات العامة;جميع التخصصات
حاسب121;تجميع الحاسب وتشغيله;08:00 - 09:00;29/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
عربي101;الكتابة الفنية;09:45 - 10:45;28/12/25;قاعة;60;الدراسات العامة;جميع التخصصات
انجل101;لغة إنجليزية -1;11:30 - 12:30;28/12/25;قاعة;60;الدراسات العامة;تقنية شبكات الحاسب
رياض101;الرياضيات (تقنية شبكات الحاسب);08:00 - 09:00;30/12/25;قاعة;60;الدراسات العامة;تقنية شبكات الحاسب
فيزي101;الفيزياء;09:45 - 10:45;30/12/25;قاعة;60;الدراسات العامة;تقنية شبكات الحاسب
شبكا111;مبادئ شبكات الحاسب;09:45 - 10:45;29/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
حاسب280;التأهيل للشهادات الاحترافية;08:00 - 09:00;31/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا222;التوجية والتحويل (2);09:45 - 10:45;31/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
اسلك201;السلوك الوظيفي والمستقبل المهن;11:30 - 12:30;30/12/25;قاعة;60;الدراسات العامة;جميع التخصصات
داعم151;نظم التشغيل -1;11:30 - 12:30;29/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري101;مبادئ ادارة الموارد البشرية;08:00 - 09:00;01/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
شبكا231;مقدمة في أمن الشبكات;08:00 - 09:00;04/01/26;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
ادار101;مبادئ إدارة الأعمال;09:45 - 10:45;01/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
احصا101;مقدمة في الإحصاء;08:00 - 09:00;05/01/26;قاعة;60;الدراسات العامة;تقنية الموارد البشرية
انجل103;لغة إنجليزية (3);09:45 - 10:45;05/01/26;قاعة;60;الدراسات العامة;تقنية شبكات الحاسب
انجل112;لغة إنجليزية (2);11:30 - 12:30;05/01/26;قاعة;60;الدراسات العامة;تقنية الموارد البشرية
اسلم101;الدراسات الإسلامية;08:00 - 09:00;06/01/26;قاعة;60;الدراسات العامة;جميع التخصصات
محسب101;مبادئ المحاسبة;09:45 - 10:45;04/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
شبكا121;التوجيه والتحويل -1;11:30 - 12:30;31/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
شبكا285;موضوعات مختارة;11:30 - 12:30;04/01/26;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
داعم252;نظم التشغيل -2;09:45 - 10:45;06/01/26;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
انجل111;لغة إنجليزية (1);11:30 - 12:30;06/01/26;قاعة;60;الدراسات العامة;تقنية الموارد البشرية
رياض101;الرياضيات (تقنية الموارد البشرية);08:00 - 09:00;06/01/26;قاعة;60;الدراسات العامة;تقنية الموارد البشرية
انجل102;لغة إنجليزية (2);11:30 - 12:30;01/01/26;قاعة;60;الدراسات العامة;تقنية شبكات الحاسب
شبكا295;مشروع;09:45 - 10:45;04/01/26;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري112;تخطيط الموارد البشرية;11:30 - 12:30;04/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
شبكا232;أمن الشبكات المتقدم;11:30 - 12:30;01/01/26;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري111;تحليل وتقييم الوظائف;09:45 - 10:45;06/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
شبكا241;ربط الشبكات;11:30 - 12:30;31/12/25;قاعة;60;الحاسب وتقنية المعلومات;تقنية شبكات الحاسب
بشري230;إدارة الأداء;08:00 - 09:00;01/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
بشري221;الاستقطاب والاختيار;11:30 - 12:30;06/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
بشري223;إدارة نظم الأجور والتعويضات;09:45 - 10:45;01/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
بشري222;تدريب وتنمية الموارد البشرية;08:00 - 09:00;04/01/26;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
انجل113;لغة إنجليزية (3);09:45 - 10:45;05/01/26;قاعة;60;الدراسات العامة;تقنية الموارد البشرية
بشري241;مصطلحات انجليزية في إدارة المو;09:45 - 10:45;31/12/25;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
رياد262;ريادة الاعمال في مجال الإدارة;08:00 - 09:00;31/12/25;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
انجل204;لغة إنجليزية (4 );08:00 - 09:00;05/01/26;قاعة;60;الدراسات العامة;تقنية شبكات الحاسب
بشري252;موضوعات مختارة في ادارة الموار;11:30 - 12:30;29/12/25;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
بشري232;إدارة الخدمة المدنية;09:45 - 10:45;29/12/25;قاعة;60;تقنية الاعمال;تقنية الموارد البشرية
